10015,2,420000
10027,8,355000
10009,5,210000
10042,3,580000
10031,7,275000
10014,1,500000
10002,10,155000
10045,2,470000
10076,6,320000
10023,8,290000
10089,3,485000
10056,4,260000
10033,7,530000
10017,9,440000
10084,5,120000
10066,1,375000
10011,3,415000
10090,2,390000
10078,10,570000
10037,4,210000
10049,5,305000
10068,9,215000
10013,6,540000
10085,7,430000
10032,2,180000
10019,1,510000
10025,8,330000
10091,10,125000
10039,3,440000
10041,9,315000
10022,5,220000
10075,4,390000
10018,7,570000
10061,2,280000
10064,8,355000
10086,6,415000
10016,10,590000
10053,1,360000
10007,3,235000
10044,4,480000
10028,9,295000
10047,5,270000
10059,2,145000
10095,10,590000
10026,8,190000
10050,7,420000
10048,6,220000
10008,4,580000
10099,3,330000
10074,9,125000
10010,1,550000
10029,8,170000
10020,5,395000
10043,2,260000
10065,7,520000
10036,6,230000
10062,3,590000
10001,10,125000
10057,8,370000
10077,5,270000
10052,9,550000
10035,6,320000
10004,4,155000
10012,1,495000
10024,2,265000
10046,7,590000
10083,3,210000
10038,5,530000
10034,8,370000
10054,9,490000
10070,6,300000
10088,1,225000
10040,4,385000
10080,5,210000
10051,2,455000
10003,3,240000
10092,8,310000
10006,9,460000
10073,7,570000
10058,10,125000
10063,5,335000
10005,6,280000
10096,8,215000
10055,2,195000
10081,4,470000
10060,9,375000
10067,3,260000
10071,5,285000
10097,7,310000
10098,10,540000
10030,8,350000
10093,4,245000
10094,9,310000
10082,1,480000
10079,2,370000
10087,6,270000
10072,3,590000
10068,10,190000
10091,9,150000
10023,4,320000
10064,8,410000
